feature__id,eventtype,alertlevel,country,eventname,glide,ring_index,vertex_index,x,y
,EQ,Green,Pakistan,,,0,0,72.7604,36.7821
,EQ,Green,Southeast Of Easter Island,,,0,0,-91.1454,-41.2588
,EQ,Green,South Of Fiji Islands,,,0,0,-177.0642,-25.6613
,EQ,Green,Philippines,,,0,0,127.2002,7.1167
,EQ,Green,Russia,,,0,0,157.2801,50.1048
,EQ,Green,Philippines,,,0,0,120.5547,18.5873
,EQ,Green,Philippines,,,0,0,120.6163,18.6819
,EQ,Green,Russian Federation,,,0,0,159.6399,53.228
,EQ,Green,Indonesia,,,0,0,139.0327,-2.2996
,EQ,Green,Russian Federation,,,0,0,159.8579,53.181
,EQ,Green,Chile,,,0,0,-71.4078,-30.7151
,EQ,Green,Honduras,,,0,0,-85.25,17.0517
,EQ,Green,Philippines,,,0,0,126.2206,9.7339
,EQ,Green,Afghanistan,,,0,0,70.8308,34.3827
,EQ,Green,South Of Fiji Islands,,,0,0,178.8255,-23.3473
,EQ,Green,Philippines,,,0,0,126.1093,9.7561
,EQ,Green,Philippines,,,0,0,127.1758,6.8254
,EQ,Green,Myanmar,,,0,0,92.5745,13.3525
,EQ,Green,Off East Coast Of Kamchatka,,,0,0,159.9278,51.1794
,EQ,Green,Russia,,,0,0,157.2392,50.0906
,EQ,Green,Russia,,,0,0,158.6438,51.9022
,EQ,Green,Indonesia,,,0,0,139.0855,-2.1142
,EQ,Green,Indonesia,,,0,0,139.1134,-2.2378
,EQ,Green,Indonesia,,,0,0,138.8946,-2.1197
,FL,Green,"Guatemala, Spain",,,0,0,-1.9838889,43.3224219
,EQ,Green,South Of Kermadec Islands,,,0,0,-179.1204,-34.3728
,EQ,Green,Philippines,,,0,0,125.9547,5.4138
,EQ,Green,Kuril Islands,,,0,0,156.5566,49.0164
,EQ,Green,Myanmar,,,0,0,95.5076,24.8187
,EQ,Green,Indonesia,,,0,0,138.9382,-2.1676
,EQ,Green,West Chile Rise,,,0,0,-81.8754,-44.2232
,EQ,Green,Drake Passage,,,0,0,-61.994,-60.194
,EQ,Green,Drake Passage,,,0,0,-62.7045,-58.7366
,EQ,Green,Drake Passage,,,0,0,-61.6217,-59.9066
,FL,Green,Italy,,,0,0,9.0975894,40.0615029
,FL,Green,Malaysia,,,0,0,101.9085845,4.3242506
,EQ,Green,Philippines,,,0,0,125.3035,5.1075
,TC,Green,,LORENZO-25,,0,0,-42.5,23.1
,EQ,Green,Philippines,,,0,0,120.0164,15.5347
,EQ,Green,Chile,,,0,0,-70.1129,-27.0873
,EQ,Green,South Of Kermadec Islands,,,0,0,-178.768,-34.0533
,FL,Green,Venezuela,,,0,0,-61.8331903,7.3473611
,FL,Green,Democratic Republic of Congo,,,0,0,28.1674007633668,-3.29689585
,EQ,Green,Chile,,,0,0,-71.559,-30.7205
,EQ,Green,"W. Caroline Islands, Micronesia",,,0,0,141.5284,7.2551
,EQ,Green,Venezuela,,,0,0,-70.875,9.9352
,EQ,Green,Philippines,,,0,0,127.1802,7.1768
,EQ,Green,Off East Coast Of Kamchatka,,,0,0,159.8309,51.5274
,FL,Green,New Zealand,,,0,0,174.7786485,-38.4303311
,FL,Green,Indonesia,,,0,0,110.0044145,-7.3032412
,FL,Green,United States,,,0,0,-75.401415,39.0599109
,DR,Green,Canada,Canada-2025,,0,0,-111.601,54.66
,DR,Green,"Bhutan, China, India, Nepal",Himalaya-2025,DR-2025-000125-NPL,0,0,88.368,27.507
,DR,Orange,"China, Kazakhstan, Mongolia, Russia","Mongolia, China-2025",DR-2025-000180-CHN,0,0,95.124,48.815
,DR,Green,"Belgium, Germany, Finland, France, Luxembourg, Netherlands, Norway, Sweden, ",Europe-2023,DR-2023-000138-AUT,0,0,6.912,52.869
